VG,VD,W,L,ID,abs_ID,log_ID,device
-1,4.5,5,5,4.7414e-12,4.7414e-12,-11.324093404633615,top1rep
-1,4.6000000000000005,5,5,3.9376e-12,3.9376e-12,-11.404768403641272,top1rep
-1,4.7,5,5,-1.3084e-12,1.3084e-12,-11.883259464547056,top1rep
-1,4.8,5,5,-1.34e-13,1.34e-13,-12.872895201635192,top1rep
-1,4.9,5,5,9.112e-13,9.112e-13,-12.040386288928955,top1rep
-1,5.0,5,5,1.7534e-12,1.7534e-12,-11.756118997781682,top1rep
0,0.0,5,5,-3.6926e-12,3.6926e-12,-11.432667734645634,top1rep
0,0.1,5,5,1.7113e-09,1.7113e-09,-8.766673849650143,top1rep
0,0.2,5,5,2.0924e-09,2.0924e-09,-8.6793552886446,top1rep
0,0.3,5,5,2.2462e-09,2.2462e-09,-8.648551577090883,top1rep
0,0.4,5,5,2.2998e-09,2.2998e-09,-8.638309930362004,top1rep
0,0.5,5,5,2.3077e-09,2.3077e-09,-8.636820649941313,top1rep
0,0.6,5,5,2.3e-09,2.3e-09,-8.638272163982407,top1rep
0,0.7,5,5,2.2919e-09,2.2919e-09,-8.63980433539384,top1rep
0,0.8,5,5,2.3478e-09,2.3478e-09,-8.629338901715677,top1rep
0,0.9,5,5,2.3525e-09,2.3525e-09,-8.628470367900706,top1rep
0,1.0,5,5,2.3727e-09,2.3727e-09,-8.62475716973923,top1rep
0,1.1,5,5,2.337e-09,2.337e-09,-8.631341287607773,top1rep
0,1.2,5,5,2.3285e-09,2.3285e-09,-8.63292375773125,top1rep
0,1.3,5,5,2.311e-09,2.311e-09,-8.636200054520891,top1rep
0,1.4,5,5,2.3191e-09,2.3191e-09,-8.634680524103784,top1rep
0,1.5,5,5,2.3457e-09,2.3457e-09,-8.629727532150472,top1rep
0,1.6,5,5,2.3367e-09,2.3367e-09,-8.631397041440817,top1rep
0,1.7,5,5,2.3712e-09,2.3712e-09,-8.625031813700765,top1rep
0,1.8,5,5,2.3336e-09,2.3336e-09,-8.631973583886325,top1rep
0,1.9,5,5,2.3055e-09,2.3055e-09,-8.637234873444573,top1rep
0,2.0,5,5,2.2878e-09,2.2878e-09,-8.640581944342685,top1rep
0,2.1,5,5,2.3196e-09,2.3196e-09,-8.634586899923821,top1rep
0,2.2,5,5,2.3302e-09,2.3302e-09,-8.632606802077524,top1rep
0,2.3000000000000003,5,5,2.3464e-09,2.3464e-09,-8.629597950027504,top1rep
0,2.4,5,5,2.3165e-09,2.3165e-09,-8.635167695460826,top1rep
0,2.5,5,5,2.3058e-09,2.3058e-09,-8.637178365152007,top1rep
0,2.6,5,5,2.2754e-09,2.2754e-09,-8.642942246249657,top1rep
0,2.7,5,5,2.3371e-09,2.3371e-09,-8.631322704587214,top1rep
0,2.8000000000000003,5,5,2.304e-09,2.304e-09,-8.637517525248825,top1rep
0,2.9,5,5,2.3539e-09,2.3539e-09,-8.6282119910978,top1rep
0,3.0,5,5,2.2837e-09,2.2837e-09,-8.641360948106536,top1rep
0,3.1,5,5,2.3118e-09,2.3118e-09,-8.636049740603356,top1rep
0,3.2,5,5,2.2733e-09,2.2733e-09,-8.64334324806415,top1rep
0,3.3000000000000003,5,5,2.2849e-09,2.2849e-09,-8.641132802333095,top1rep
0,3.4,5,5,2.2824e-09,2.2824e-09,-8.64160824135098,top1rep
0,3.5,5,5,2.3266e-09,2.3266e-09,-8.633278276242748,top1rep
0,3.6,5,5,2.2644e-09,2.2644e-09,-8.645046853787443,top1rep
0,3.7,5,5,2.257e-09,2.257e-09,-8.646468440922238,top1rep
0,3.8,5,5,2.2287e-09,2.2287e-09,-8.651948386931641,top1rep
0,3.9,5,5,2.269e-09,2.269e-09,-8.644165504115064,top1rep
0,4.0,5,5,2.2898e-09,2.2898e-09,-8.6402024489656,top1rep
0,4.1,5,5,2.3207e-09,2.3207e-09,-8.634380997745497,top1rep
0,4.2,5,5,2.2865e-09,2.2865e-09,-8.6408287942833,top1rep
0,4.3,5,5,2.2451e-09,2.2451e-09,-8.648764310125705,top1rep
0,4.4,5,5,2.2406e-09,2.2406e-09,-8.649635668363736,top1rep
0,4.5,5,5,2.2404e-09,2.2404e-09,-8.649674436003297,top1rep
0,4.6000000000000005,5,5,2.241e-09,2.241e-09,-8.649558143464938,top1rep
0,4.7,5,5,2.2726e-09,2.2726e-09,-8.643476997658173,top1rep
0,4.8,5,5,2.2641e-09,2.2641e-09,-8.64510439528894,top1rep
0,4.9,5,5,2.268e-09,2.268e-09,-8.64435694977913,top1rep
0,5.0,5,5,2.2238e-09,2.2238e-09,-8.652904274105332,top1rep
1,0.0,5,5,1.88662e-11,1.88662e-11,-10.724315565930585,top1rep
1,0.1,5,5,4.02204e-08,4.02204e-08,-7.395553614571477,top1rep
1,0.2,5,5,7.37574e-08,7.37574e-08,-7.1321944008692135,top1rep
1,0.3,5,5,1.00706e-07,1.00706e-07,-6.996944653684069,top1rep
1,0.4,5,5,1.2192e-07,1.2192e-07,-6.913925046004475,top1rep
1,0.5,5,5,1.3884e-07,1.3884e-07,-6.857485395000626,top1rep
1,0.6,5,5,1.5092e-07,1.5092e-07,-6.821253203471042,top1rep
1,0.7,5,5,1.6284e-07,1.6284e-07,-6.788238906292638,top1rep
