W,L,VD,VG,ID,gm
5,5,0.1,1.85,1.4834576552681356e-07,6.145335874523534e-08
5,5,0.1,1.9,1.5137464067412876e-07,5.977486328483059e-08
5,5,0.1,1.95,1.5433044584140447e-07,5.8527853247087176e-08
5,5,0.1,2.0,1.572343144645867e-07,5.7694042960188695e-08
5,5,0.1,2.05,1.6010637864901206e-07,5.725187288217604e-08
5,5,0.1,2.1,1.6296563475400155e-07,5.7177642802929843e-08
5,5,0.1,2.15,1.658298601025158e-07,5.744642690266344e-08
5,5,0.1,2.2,1.6871557043737967e-07,5.803279251198437e-08
5,5,0.1,2.25,1.7163800891936728e-07,5.8911347245898845e-08
5,5,0.1,2.3,1.746111587191174e-07,6.0057139799446e-08
5,5,0.1,2.35,1.7764777250191866e-07,6.144593880230554e-08
5,5,0.1,2.4,1.8075941328138818e-07,6.30544122938461e-08
5,5,0.1,2.45,1.839565021886229e-07,6.486022802312304e-08
5,5,0.1,2.5,1.8724836964977305e-07,6.684209220802102e-08
5,5,0.1,2.55,1.906433072820675e-07,6.897974181593911e-08
5,5,0.1,2.6,1.9414861850976702e-07,7.125390299167921e-08
5,5,0.1,2.65,1.9777066647623298e-07,7.364622603670453e-08
5,5,0.1,2.7,2.015149182982673e-07,7.61392053764433e-08
5,5,0.1,2.75,2.0538598508701136e-07,7.871609124967085e-08
5,5,0.1,2.8,2.093876574592132e-07,8.136079840794333e-08
5,5,0.1,2.85,2.1352293649595317e-07,8.405781590458255e-08
5,5,0.1,2.9,2.1779406028409083e-07,8.679212105633663e-08
5,5,0.1,2.95,2.2220252630891815e-07,8.954909984919191e-08
5,5,0.1,3.0,2.267491100630756e-07,9.231447540539246e-08
5,5,0.1,3.05,2.3143388030408173e-07,9.507424560570548e-08
5,5,0.1,3.1,2.3625621143674225e-07,9.781463054611156e-08
5,5,0.1,3.15,2.4121479352217214e-07,1.0052203018089017e-07
5,5,0.1,3.2,2.463076404260747e-07,1.0318299224699404e-07
5,5,0.1,3.25,2.515320966183954e-07,1.0578419036303282e-07
5,5,0.1,3.3,2.5688484312705727e-07,1.0831241203794711e-07
5,5,0.1,3.35,2.6236190313199044e-07,1.107545561999596e-07
5,5,0.1,3.4,2.679586476636084e-07,1.1309763975765032e-07
5,5,0.1,3.45,2.736698018434846e-07,1.1532881262633268e-07
5,5,0.1,3.5,2.794894520749723e-07,1.1743538058944492e-07
5,5,0.1,3.55,2.8541105455863525e-07,1.1940483531324593e-07
5,5,0.1,3.6,2.914274454722759e-07,1.2122489079120583e-07
5,5,0.1,3.65,2.9753085311818864e-07,1.2288352546047551e-07
5,5,0.1,3.7,3.0371291230173123e-07,1.2436902920567534e-07
5,5,0.1,3.75,3.099646811655404e-07,1.256700544443436e-07
5,5,0.1,3.8,3.162766606629691e-07,1.2677567047343476e-07
5,5,0.1,3.85,3.2263881681310655e-07,1.276754202472511e-07
5,5,0.1,3.9,3.2904060583814234e-07,1.2835937875418494e-07
5,5,0.1,3.95,3.354710022422314e-07,1.288182121628233e-07
5,5,0.1,4.0,3.419185298497972e-07,1.2904323691754503e-07
5,5,0.1,4.05,3.4837129578055206e-07,1.2902647797980803e-07
5,5,0.1,4.1,3.5481702729891455e-07,1.2876072543410307e-07
5,5,0.1,4.15,3.612431114370994e-07,1.282395887069573e-07
5,5,0.1,4.2,3.676366372544921e-07,1.2745754768341535e-07
5,5,0.1,4.25,3.7398444056116846e-07,1.264100000479056e-07
5,5,0.1,4.3,3.8027315090095665e-07,1.250933042249985e-07
5,5,0.1,4.35,3.8648924055951694e-07,1.2350481734993757e-07
5,5,0.1,4.4,3.9261907533594503e-07,1.2164292775840776e-07
5,5,0.1,4.45,3.986489667923912e-07,1.195070815492383e-07
5,5,0.1,4.5,4.0456522567563225e-07,1.1709780284190583e-07
5,5,0.1,4.55,4.1035421618731574e-07,1.1441670742199113e-07
5,5,0.1,4.6,4.1600241076620395e-07,1.114665095415099e-07
5,5,0.1,4.65,4.214964450358166e-07,1.0825102171609095e-07
5,5,0.1,4.7,4.268231725650084e-07,1.0477514743679755e-07
5,5,0.1,4.75,4.3196971908669605e-07,1.0104486678976107e-07
5,5,0.1,4.8,4.3692353582151596e-07,9.706721505105795e-08
5,5,0.1,4.85,4.416724515583717e-07,9.285025439637048e-08
5,5,0.1,4.9,4.462047231525356e-07,8.840303893423297e-08
5,5,0.1,4.95,4.505090841140975e-07,8.373557333721549e-08
5,5,0.1,5.0,4.5457479097478387e-07,7.885876540660934e-08
5,5,1.0,-5.0,1.856092565039023e-12,-1.5871158768217329e-12
5,5,1.0,-4.95,1.7792255428362218e-12,-1.4877991911552836e-12
5,5,1.0,-4.9,1.7072868977274434e-12,-1.3900255308586086e-12
5,5,1.0,-4.85,1.6401932301223246e-12,-1.2940356435684067e-12
5,5,1.0,-4.8,1.5778504637036286e-12,-1.2000162153822406e-12
5,5,1.0,-4.75,1.5201564885167365e-12,-1.1081023731999076e-12
5,5,1.0,-4.7,1.4670036642323763e-12,-1.0183807613464514e-12
5,5,1.0,-4.65,1.4182811569179404e-12,-9.308931119611763e-13
5,5,1.0,-4.6,1.373877086427671e-12,-8.456402392781842e-13
5,5,1.0,-4.55,1.3336804646782589e-12,-7.625864019528732e-13
5,5,1.0,-4.5,1.297582907457938e-12,-6.816639944162013e-13
5,5,1.0,-4.45,1.2654801039020907e-12,-6.027785471705878e-13
5,5,1.0,-4.4,1.2372730282708106e-12,-5.258140361552849e-13
5,5,1.0,-4.35,1.2128688781434081e-12,-4.506385218275031e-13
5,5,1.0,-4.3,1.1921817216151471e-12,-3.771101582440032e-13
5,5,1.0,-4.25,1.1751328336214776e-12,-3.0508362973636336e-13
5,5,1.0,-4.2,1.161650698284023e-12,-2.344170859645747e-13
5,5,1.0,-4.15,1.1516706504300671e-12,-1.6497965301352125e-13
5,5,1.0,-4.1,1.1451341255626815e-12,-9.66595961060283e-14
5,5,1.0,-4.05,1.1419874840773213e-12,-2.937319530048285e-14
5,5,1.0,-4.0,1.1421803731270029e-12,3.6925634364942526e-14
5,5,1.0,-3.95,1.1456635891118628e-12,1.0223499630405559e-13
5,5,1.0,-3.9,1.1523864063884034e-12,1.6649403035104267e-13
5,5,1.0,-3.85,1.1622933447185493e-12,2.295714859970867e-13
5,5,1.0,-3.8,1.1753203606111358e-12,2.9125417038389747e-13
5,5,1.0,-3.75,1.191390467508667e-12,3.512357482253134e-13
5,5,1.0,-3.7,1.2104088181156024e-12,4.0910655392917333e-13
5,5,1.0,-3.65,1.2322573201361969e-12,4.643452763659348e-13
5,5,1.0,-3.6,1.2567889048086577e-12,5.163135794070286e-13
5,5,1.0,-3.55,1.2838216254969368e-12,5.642549046358961e-13
5,5,1.0,-3.5,1.3131328295538434e-12,6.072988368647042e-13
5,5,1.0,-3.45,1.344453717353957e-12,6.444724615932881e-13
5,5,1.0,-3.4,1.377464672507021e-12,6.747200650305705e-13
5,5,1.0,-3.35,1.4117918094013627e-12,6.96932280346228e-13
5,5,1.0,-3.3,1.4470052290594159e-12,7.099853336555224e-13
5,5,1.0,-3.25,1.4826194910813085e-12,7.127903704654449e-13
5,5,1.0,-3.2,1.5180967870980515e-12,7.043519537168387e-13
5,5,1.0,-3.15,1.5528532296575966e-12,6.838337583638198e-13
5,5,1.0,-3.1,1.5862685428426396e-12,6.506283256438258e-13
5,5,1.0,-3.05,1.6176992552893202e-12,6.044266054412894e-13
5,5,1.0,-3.0,1.646495257804984e-12,5.452820645635078e-13
