W,L,VG,VD,ID,gds
5,5,2.0,2.85,3.2157509064169716e-06,9.880272225990011e-07
5,5,2.0,2.9,3.264942491840316e-06,9.796617468095971e-07
5,5,2.0,2.95,3.3137198590936834e-06,9.714628639536217e-07
5,5,2.0,3.0,3.3620919715598724e-06,9.634554966853785e-07
5,5,2.0,3.05,3.4100689754956197e-06,9.556620527970013e-07
5,5,2.0,3.1,3.4576620766798316e-06,9.481025221653882e-07
5,5,2.0,3.15,3.5048834220871282e-06,9.407945805058143e-07
5,5,2.0,3.2,3.5517459868823013e-06,9.337536981831722e-07
5,5,2.0,3.25,3.5982634669489934e-06,9.269932525156858e-07
5,5,2.0,3.3,3.6444501770913017e-06,9.205246421828856e-07
5,5,2.0,3.35,3.690320954982919e-06,9.14357402518993e-07
5,5,2.0,3.4,3.7358910708805633e-06,9.084993206316915e-07
5,5,2.0,3.45,3.7811761430696687e-06,9.029565494350498e-07
5,5,2.0,3.5,3.82619205896824e-06,8.977337198227262e-07
5,5,2.0,3.55,3.8709549017791565e-06,8.928340503335506e-07
5,5,2.0,3.6,3.915480882551637e-06,8.882594537761175e-07
5,5,2.0,3.65,3.959786277488832e-06,8.840106403824692e-07
5,5,2.0,3.7,4.003887370318981e-06,8.80087217153482e-07
5,5,2.0,3.75,4.047800399533536e-06,8.764877831408824e-07
5,5,2.0,3.8,4.091541510283278e-06,8.732100204831825e-07
5,5,2.0,3.85,4.135126710717964e-06,8.70250781076563e-07
5,5,2.0,3.9,4.178571832548779e-06,8.676061688164074e-07
5,5,2.0,3.95,4.221892495611501e-06,8.6527161739266e-07
5,5,2.0,4.0,4.265104076209206e-06,8.632419636624015e-07
5,5,2.0,4.05,4.308221679013493e-06,8.61511516656582e-07
5,5,2.0,4.1,4.3512601123091385e-06,8.60074122306244e-07
5,5,2.0,4.15,4.394233866370082e-06,8.589232239962301e-07
5,5,2.0,4.2,4.437157094761323e-06,8.580519190727368e-07
5,5,2.0,4.25,4.480043598367959e-06,8.574530114454513e-07
5,5,2.0,4.3,4.522906811960015e-06,8.571190604357579e-07
5,5,2.0,4.35,4.5657597931088985e-06,8.570424260301063e-07
5,5,2.0,4.4,4.608615213280211e-06,8.572153107028139e-07
5,5,2.0,4.45,4.651485350935372e-06,8.576297979752498e-07
5,5,2.0,4.5,4.694382086483043e-06,8.582778878791819e-07
5,5,2.0,4.55,4.737316898930014e-06,8.591515294913928e-07
5,5,2.0,4.6,4.780300864088731e-06,8.602426507043163e-07
5,5,2.0,4.65,4.823344654207858e-06,8.615431853944202e-07
5,5,2.0,4.7,4.8664585388994965e-06,8.630450981457467e-07
5,5,2.0,4.75,4.9096523872445485e-06,8.647404066812523e-07
5,5,2.0,4.8,4.952935670965427e-06,8.666212021491042e-07
5,5,2.0,4.85,4.9963174685624385e-06,8.686796674053726e-07
5,5,2.0,4.9,5.0398064703170745e-06,8.709080934283956e-07
5,5,2.0,4.95,5.08341098407208e-06,8.732988939938682e-07
5,5,2.0,5.0,5.12713894170408e-06,8.758446187332519e-07
5,5,3.0,0.0,1.3189002075414153e-09,8.507366822831625e-08
5,5,3.0,0.05,2.8750820899666886e-08,1.5475694357282565e-06
5,5,3.0,0.1,2.267491100630756e-07,6.586611607099503e-06
5,5,3.0,0.15,6.121614055350157e-07,7.6898171417128e-06
5,5,3.0,0.2,9.293493581935831e-07,4.875500201910216e-06
5,5,3.0,0.25,1.113909019690392e-06,2.7383457357867683e-06
5,5,3.0,0.3,1.223019497105618e-06,1.7723208159926034e-06
5,5,3.0,0.35,1.3010827180316978e-06,1.4131180369951522e-06
5,5,3.0,0.4,1.3683482027514303e-06,1.3017067597307074e-06
5,5,3.0,0.45,1.4327643827623648e-06,1.2838563702588787e-06
5,5,3.0,0.5,1.4972820659970633e-06,1.3000158520329157e-06
5,5,3.0,0.55,1.5629548352986277e-06,1.3279224116832855e-06
5,5,3.0,0.6,1.6301293925285985e-06,1.3592866612472837e-06
5,5,3.0,0.65,1.6988878832481425e-06,1.3909697715980991e-06
5,5,3.0,0.7,1.7692105304540952e-06,1.4217231513974549e-06
5,5,3.0,0.75,1.8410353682185015e-06,1.4509944828231151e-06
5,5,3.0,0.8,1.9142803739296922e-06,1.4784926329468874e-06
5,5,3.0,0.85,1.9888519278241312e-06,1.5040300049383396e-06
5,5,3.0,0.9,2.0646483378032223e-06,1.5274660446589938e-06
5,5,3.0,0.95,2.1415616111391228e-06,1.5486874922101222e-06
5,5,3.0,1.0,2.219478625338861e-06,1.5676018638259496e-06
5,5,3.0,1.05,2.2982821096615017e-06,1.584135581008586e-06
5,5,3.0,1.1,2.3778515783792933e-06,1.5982336136301413e-06
5,5,3.0,1.15,2.458064258182491e-06,1.609859494362663e-06
5,5,3.0,1.2,2.538796016223049e-06,1.61899529121441e-06
5,5,3.0,1.25,2.619922282463074e-06,1.6256413946091672e-06
5,5,3.0,1.3,2.7013189557617902e-06,1.62981607731186e-06
5,5,3.0,1.35,2.782863282204573e-06,1.6315548257983638e-06
5,5,3.0,1.4,2.8644346945966254e-06,1.630909458978359e-06
5,5,3.0,1.45,2.945915603069813e-06,1.6279470584866875e-06
5,5,3.0,1.5,3.027192128082981e-06,1.622748739129994e-06
5,5,3.0,1.55,3.1081547685887883e-06,1.6154082903554998e-06
5,5,3.0,1.6,3.18869899971085e-06,1.6060307205100508e-06
5,5,3.0,1.65,3.2687257958636414e-06,1.5947307354910978e-06
5,5,3.0,1.7,3.34814207680449e-06,1.5816311823433898e-06
5,5,3.0,1.75,3.4268610755928546e-06,1.5668614865765487e-06
5,5,3.0,1.8,3.5048026288147962e-06,1.550556109615578e-06
5,5,3.0,1.85,3.581893390680634e-06,1.5328530499856914e-06
5,5,3.0,1.9,3.6580669737094787e-06,1.51389240872044e-06
5,5,3.0,1.95,3.7332640196544807e-06,1.4938150361898043e-06
5,5,3.0,2.0,3.8074322051009295e-06,1.4727612742028608e-06
5,5,3.0,2.05,3.880526186777733e-06,1.4508698039422388e-06
5,5,3.0,2.1,3.952507492072049e-06,1.4282766071321821e-06
5,5,3.0,2.15,4.023344360531866e-06,1.405114044894476e-06
5,5,3.0,2.2,4.093011542295475e-06,1.3815100560625482e-06
5,5,3.0,2.25,4.161490059415024e-06,1.3575874743409274e-06
5,5,3.0,2.3,4.228766935957222e-06,1.3334634616356306e-06
5,5,3.0,2.35,4.294834902586389e-06,1.3092490531501885e-06
5,5,3.0,2.4,4.359692081077594e-06,1.285048808437601e-06
5,5,3.0,2.45,4.423341653889863e-06,1.260960561508685e-06
5,5,3.0,2.5,4.485791523561792e-06,1.2370752623006703e-06
5,5,3.0,2.55,4.547053966294268e-06,1.2134769012824777e-06
5,5,3.0,2.6,4.607145283664722e-06,1.1902425086848432e-06
5,5,3.0,2.65,4.666085455989611e-06,1.1674422197640629e-06
5,5,3.0,2.7,4.723897800423285e-06,1.1451393976061494e-06
5,5,3.0,2.75,4.78060863646346e-06,1.1233908052231154e-06
5,5,3.0,2.8,4.8362469611282475e-06,1.1022468190549834e-06
5,5,3.0,2.85,4.890844135687725e-06,1.081751676443719e-06
5,5,3.0,2.9,4.944433585473171e-06,1.0619437501629338e-06
5,5,3.0,2.95,4.997050513955831e-06,1.0428558436486553e-06
5,5,3.0,3.0,5.048731631982885e-06,1.0245155011621644e-06
5,5,3.0,3.05,5.099514902786154e-06,1.0069453277102535e-06
5,5,3.0,3.1,5.149439303133878e-06,9.90163314137002e-07
5,5,3.0,3.15,5.1985446007818515e-06,9.741831633742898e-07
5,5,3.0,3.2,5.246871148192206e-06,9.590146143865794e-07
5,5,3.0,3.25,5.294459692330006e-06,9.446637608634933e-07
5,5,3.0,3.3,5.341351200210416e-06,9.311333621957075e-07
5,5,3.0,3.35,5.387586699759157e-06,9.184231447142756e-07
5,5,3.0,3.4,5.43320713545666e-06,9.065300915777429e-07
5,5,3.0,3.45,5.478253238166298e-06,8.954487200562437e-07
5,5,3.0,3.5,5.522765408491896e-06,8.8517134528665e-07
5,5,3.0,3.55,5.5667836129705296e-06,8.756883298595424e-07
5,5,3.0,3.6,5.610347292382282e-06,8.66988318849355e-07
5,5,3.0,3.65,5.653495281443354e-06,8.590584601146944e-07
5,5,3.0,3.7,5.69626573914593e-06,8.518846098801673e-07
5,5,3.0,3.75,5.738696089012365e-06,8.454515237657107e-07
5,5,3.0,3.8,5.78082296854282e-06,8.397430335575982e-07
5,5,3.0,3.85,5.8226821871531216e-06,8.347422101193518e-07
5,5,3.0,3.9,5.86430869192168e-06,8.3043151292352e-07
5,5,3.0,3.95,5.905736540489637e-06,8.267929267488538e-07
5,5,3.0,4.0,5.9469988804870695e-06,8.238080861345204e-07
5,5,3.0,4.05,5.988127934889289e-06,8.214583882157378e-07
5,5,3.0,4.1,6.0291549927372355e-06,8.197250945850937e-07
5,5,3.0,4.15,6.070110404690819e-06,8.185894228339342e-07
5,5,3.0,4.2,6.1110235829143244e-06,8.180326284284579e-07
5,5,3.0,4.25,6.151923004828241e-06,8.180360775690827e-07
5,5,3.0,4.3,6.1928362202912285e-06,8.18581311668531e-07
5,5,3.0,4.35,6.233789861809938e-06,8.196501040670745e-07
5,5,3.0,4.4,6.2748096574025704e-06,8.212245095818041e-07
5,5,3.0,4.45,6.315920445773105e-06,8.232869074629109e-07
5,5,3.0,4.5,6.357146193479686e-06,8.2582003830359e-07
5,5,3.0,4.55,6.398510013808339e-06,8.2880703542265e-07
5,5,3.0,4.6,6.44003418708792e-06,8.322314512103974e-07
5,5,3.0,4.65,6.481740182206094e-06,8.360772788994932e-07
5,5,3.0,4.7,6.523648679108608e-06,8.403289701935934e-07
5,5,3.0,4.75,6.565779592084816e-06,8.449714491581935e-07
