VG,VD,ID,IG,IS,gm,absIg,absId,W,L,Ca,mobLin,SS,d2
3.6,0.1,1.399e-07,3.7710000000000005e-11,-1.4012e-07,2.3200000000000082e-08,3.7710000000000005e-11,1.399e-07,5,5,1.33e-07,1.744360902255645,0.0738645615595733,-2.324999999999992e-07
3.5,0.1,1.341e-07,-1.78e-12,-1.2998e-07,3.859999999999993e-08,1.78e-12,1.341e-07,5,5,1.33e-07,2.902255639097738,0.1232598347870838,5.55000000000005e-08
3.4,0.1,1.3218e-07,-2.4000000000000007e-12,-1.3122e-07,1.2099999999999973e-08,2.4000000000000007e-12,1.3218e-07,5,5,1.33e-07,0.9097744360902232,0.0395447999170173,6.899999999999925e-08
3.3000000000000003,0.1,1.3168e-07,2.6650000000000003e-11,-1.3016e-07,2.4800000000000096e-08,2.6650000000000003e-11,1.3168e-07,5,5,1.33e-07,1.864661654135345,0.0830517814694876,-8.300000000000003e-08
3.2,0.1,1.2722e-07,1.22e-12,-1.302e-07,2.869999999999996e-08,1.22e-12,1.2722e-07,5,5,1.33e-07,2.1578947368421018,0.0967806445107565,-2.149999999999989e-07
3.1,0.1,1.2594e-07,-4.9080000000000007e-11,-1.2798e-07,6.779999999999992e-08,4.9080000000000007e-11,1.2594e-07,5,5,1.33e-07,5.097744360902248,0.2447386976590102,3.450000000000001e-08
3.0,0.1,1.1366e-07,-2.0200000000000007e-12,-1.3058e-07,2.179999999999995e-08,2.0200000000000007e-12,1.1366e-07,5,5,1.33e-07,1.6390977443608985,0.0765077495881082,3.2999999999999933e-07
2.9,0.1,1.2158e-07,3.4290000000000005e-11,-1.2692e-07,1.799999999999992e-09,3.4290000000000005e-11,1.2158e-07,5,5,1.33e-07,0.135338345864661,0.006888709226569,-1.505000000000009e-07
2.8000000000000003,0.1,1.133e-07,-2.69e-12,-1.1518e-07,5.190000000000009e-08,2.69e-12,1.133e-07,5,5,1.33e-07,3.90225563909775,0.1937867590119204,-2.330000000000003e-07
2.7,0.1,1.112e-07,-1.3400000000000003e-12,-1.0618e-07,4.8399999999999983e-08,1.3400000000000003e-12,1.112e-07,5,5,1.33e-07,3.639097744360901,0.1939316095614749,1.7450000000000025e-07
