VG,VD,W,L,ID,abs_ID,log_ID,VG_scaled,VD_scaled,W_scaled,L_scaled
3.5,0.1,10.0,10.0,3.053e-07,3.053e-07,-6.515273195701338,0.8500000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.4,0.1,10.0,10.0,2.9236e-07,2.9236e-07,-6.534082046788065,0.8400000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.3000000000000003,0.1,10.0,10.0,2.7958e-07,2.7958e-07,-6.553493899451059,0.8300000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.2,0.1,10.0,10.0,2.6718e-07,2.6718e-07,-6.573196054485133,0.8200000000000001,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.1,0.1,10.0,10.0,2.5464e-07,2.5464e-07,-6.594073374387054,0.81,0.020000000000000004,0.03225806451612903,0.3333333333333333
3.0,0.1,10.0,10.0,2.4242e-07,2.4242e-07,-6.615431553105879,0.8,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.9,0.1,10.0,10.0,2.304e-07,2.304e-07,-6.637517525248826,0.79,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.8000000000000003,0.1,10.0,10.0,2.1834e-07,2.1834e-07,-6.660866694030121,0.78,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.7,0.1,10.0,10.0,2.065e-07,2.065e-07,-6.6850799440075805,0.77,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.6,0.1,10.0,10.0,1.9478e-07,1.9478e-07,-6.710455638502353,0.76,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.5,0.1,10.0,10.0,1.8334e-07,1.8334e-07,-6.7367427729859335,0.75,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.4,0.1,10.0,10.0,1.719e-07,1.719e-07,-6.764724123312948,0.74,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.3000000000000003,0.1,10.0,10.0,1.6068e-07,1.6068e-07,-6.794038176940366,0.73,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.2,0.1,10.0,10.0,1.4974e-07,1.4974e-07,-6.82466217120798,0.72,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.1,0.1,10.0,10.0,1.3884e-07,1.3884e-07,-6.857485395000626,0.71,0.020000000000000004,0.03225806451612903,0.3333333333333333
2.0,0.1,10.0,10.0,1.2818e-07,1.2818e-07,-6.892179732751952,0.7,0.020000000000000004,0.03225806451612903,0.3333333333333333
1.9,0.1,10.0,10.0,1.1766e-07,1.1766e-07,-6.929371155948572,0.69,0.020000000000000004,0.03225806451612903,0.3333333333333333
